model,family,macro_f1,recall_ksi,recall_slight,confusion_matrix,n_train
binary_random_guess,binary_random_guess,0.43858641784381475,0.4991635707923266,0.49908303776808255,"[[22976, 23053], [111714, 111305]]",
binary_majority_class,binary_majority_class,0.45322893020665883,0.0,1.0,"[[0, 46029], [0, 223019]]",
binary_logistic_regression,binary_logistic_regression,0.5582003432027051,0.6375328597188729,0.6344257664145208,"[[29345, 16684], [81530, 141489]]",
binary_random_forest_balanced,random_forest,0.6010925806589957,0.5401377392513416,0.7473847519718051,"[[24862, 21167], [56338, 166681]]",1554834.0
binary_xgboost_balanced,xgboost,0.5699373761296304,0.6824176062916857,0.633107493083549,"[[31411, 14618], [81824, 141195]]",1554834.0
binary_lightgbm_balanced,lightgbm,0.5661516970864057,0.6897390775380738,0.6241082598343639,"[[31748, 14281], [83831, 139188]]",1554834.0
binary_catboost_balanced,catboost,0.5647201528170669,0.6856981468204827,0.6236060604701842,"[[31562, 14467], [83943, 139076]]",1554834.0
binary_svm_linear_balanced,svm_linear,0.5589457282436823,0.6364031371526646,0.6361072374999439,"[[29293, 16736], [81155, 141864]]",500000.0
binary_svm_sgd_balanced,svm_sgd,0.5526629976016932,0.653848660626996,0.6184719687560253,"[[30096, 15933], [85088, 137931]]",1554834.0
binary_svm_rbf_balanced,svm_rbf,0.5599402556556248,0.6062699602424558,0.6514108663387425,"[[27906, 18123], [77742, 145277]]",8000.0
