model,macro_f1,recall_class_1,recall_class_2,recall_class_3,confusion_matrix
random_forest_balanced,0.42373093901818076,0.21194147884539344,0.4868505747126437,0.7360314592030276,"[[536, 1373, 620], [2195, 21178, 20127], [3966, 54904, 164149]]"
catboost_threshold_moving,0.3778084541058068,0.13009094503756424,0.06179310344827586,0.9771140575466665,"[[329, 286, 1914], [1004, 2688, 39808], [1482, 3622, 217915]]"
xgboost_balanced,0.3759282348676063,0.6030051403716884,0.4463448275862069,0.6192925266457118,"[[1525, 706, 298], [10345, 19416, 13739], [24518, 60387, 138114]]"
lightgbm_balanced,0.3719603176662725,0.620007908264136,0.4336551724137931,0.6143960828449594,"[[1568, 678, 283], [10942, 18864, 13694], [26200, 59797, 137022]]"
lightgbm_threshold_moving,0.37164368884714977,0.11704230921312772,0.044804597701149425,0.9858621911137616,"[[296, 188, 2045], [795, 1949, 40756], [1006, 2147, 219866]]"
catboost_balanced,0.36986434088012193,0.5705812574139977,0.45673563218390806,0.6029396598496092,"[[1443, 802, 284], [10246, 19868, 13386], [25516, 63036, 134467]]"
catboost_smote,0.355248139642878,0.02609727164887307,0.06717241379310344,0.9825037328658096,"[[66, 328, 2135], [129, 2922, 40449], [150, 3752, 219117]]"
catboost_adasyn,0.3545204555289618,0.02807433768287861,0.06351724137931035,0.9836202296665306,"[[71, 318, 2140], [151, 2763, 40586], [158, 3495, 219366]]"
logistic_regression,0.35248211749567177,0.6409648082245947,0.3373103448275862,0.6122886390845623,"[[1621, 535, 373], [13559, 14673, 15268], [36311, 50156, 136552]]"
lightgbm_smote,0.34402478920850516,0.013444049031237644,0.05724137931034483,0.9870728502952664,"[[34, 256, 2239], [57, 2490, 40953], [67, 2816, 220136]]"
catboost_default,0.3439671751259083,0.007512850929221036,0.06397701149425288,0.9859563534945454,"[[19, 397, 2113], [14, 2783, 40703], [21, 3111, 219887]]"
lightgbm_adasyn,0.3435518446384807,0.017793594306049824,0.05174712643678161,0.9877095673462799,"[[45, 243, 2241], [75, 2251, 41174], [82, 2659, 220278]]"
xgboost_default,0.3393863904821708,0.005931198102016607,0.05639080459770115,0.9885615126962277,"[[15, 367, 2147], [3, 2453, 41044], [7, 2544, 220468]]"
lightgbm_default,0.3352757255810095,0.0035587188612099642,0.05163218390804598,0.9894538133522256,"[[9, 306, 2214], [7, 2246, 41247], [5, 2347, 220667]]"
lightgbm_ordinal,0.3347434972568655,0.0031633056544088573,0.051402298850574714,0.9890233567543573,"[[8, 290, 2231], [9, 2236, 41255], [7, 2441, 220571]]"
catboost_ordinal,0.33237136519037097,0.0031633056544088573,0.04680459770114943,0.9903236943937512,"[[8, 280, 2241], [10, 2036, 41454], [6, 2152, 220861]]"
random_forest_default,0.32167888733136024,0.0,0.031241379310344826,0.9941439966998328,"[[0, 179, 2350], [0, 1359, 42141], [0, 1306, 221713]]"
majority_class,0.30215262013777255,0.0,0.0,1.0,"[[0, 0, 2529], [0, 0, 43500], [0, 0, 223019]]"
random_guess,0.2360781729981071,0.3222617635429023,0.3337241379310345,0.3312273842139011,"[[815, 824, 890], [14488, 14517, 14495], [74480, 74669, 73870]]"
